text,label
Bill Gates announces new scholarship initiative for students.,REAL
Bill Gates announces new scholarship initiative for students.,REAL
President addresses the nation on healthcare reform.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
President addresses the nation on healthcare reform.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
"Bill Gates funds chip implant program, leaked documents show.",FAKE
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
Bill Gates announces new scholarship initiative for students.,REAL
"Bill Gates funds chip implant program, leaked documents show.",FAKE
President addresses the nation on healthcare reform.,REAL
"Government hiding cure for cancer, whistleblower claims.",FAKE
COVID-19 vaccine approved by health authorities after trials.,REAL
NASA launches new satellite to explore deep space.,REAL
Scientists confirm flat Earth theory with new satellite data.,FAKE
Vaccine causes mind control according to anonymous source.,FAKE
President addresses the nation on healthcare reform.,REAL
Bill Gates announces new scholarship initiative for students.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
Doctors make breakthrough in cancer treatment with new drug.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
COVID-19 vaccine approved by health authorities after trials.,REAL
"Government hiding cure for cancer, whistleblower claims.",FAKE
NASA launches new satellite to explore deep space.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
President addresses the nation on healthcare reform.,REAL
"Bill Gates funds chip implant program, leaked documents show.",FAKE
Bill Gates announces new scholarship initiative for students.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
COVID-19 vaccine approved by health authorities after trials.,REAL
President addresses the nation on healthcare reform.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
Vaccine causes mind control according to anonymous source.,FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
President addresses the nation on healthcare reform.,REAL
Scientists confirm flat Earth theory with new satellite data.,FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
COVID-19 vaccine approved by health authorities after trials.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
NASA launches new satellite to explore deep space.,REAL
"Bill Gates funds chip implant program, leaked documents show.",FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
"Bill Gates funds chip implant program, leaked documents show.",FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
"Bill Gates funds chip implant program, leaked documents show.",FAKE
"Bill Gates funds chip implant program, leaked documents show.",FAKE
Bill Gates announces new scholarship initiative for students.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Doctors make breakthrough in cancer treatment with new drug.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Doctors make breakthrough in cancer treatment with new drug.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
"Bill Gates funds chip implant program, leaked documents show.",FAKE
President addresses the nation on healthcare reform.,REAL
NASA launches new satellite to explore deep space.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Bill Gates announces new scholarship initiative for students.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
NASA launches new satellite to explore deep space.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Bill Gates announces new scholarship initiative for students.,REAL
"Bill Gates funds chip implant program, leaked documents show.",FAKE
Bill Gates announces new scholarship initiative for students.,REAL
NASA launches new satellite to explore deep space.,REAL
President addresses the nation on healthcare reform.,REAL
Scientists confirm flat Earth theory with new satellite data.,FAKE
Doctors make breakthrough in cancer treatment with new drug.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
Bill Gates announces new scholarship initiative for students.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
Scientists confirm flat Earth theory with new satellite data.,FAKE
"Government hiding cure for cancer, whistleblower claims.",FAKE
Vaccine causes mind control according to anonymous source.,FAKE
NASA launches new satellite to explore deep space.,REAL
Vaccine causes mind control according to anonymous source.,FAKE
Scientists confirm flat Earth theory with new satellite data.,FAKE
"Bill Gates funds chip implant program, leaked documents show.",FAKE
NASA launches new satellite to explore deep space.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
Doctors make breakthrough in cancer treatment with new drug.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
NASA launches new satellite to explore deep space.,REAL
Breaking: President involved in secret alien talks revealed by insiders.,FAKE
President addresses the nation on healthcare reform.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
"Government hiding cure for cancer, whistleblower claims.",FAKE
NASA launches new satellite to explore deep space.,REAL
COVID-19 vaccine approved by health authorities after trials.,REAL
